2010,4911,0.028315248,0.144568038,3263.645,350.053,1138.439,419.518,110.188
2011,4911,0.025892192,0.138886536,3241.379,339.473,1173.562,405.674,33.583
2012,4911,0.028516665,0.154663117,3301.804,381.542,1256.091,368.73,26.202
2013,4911,0.030060215,0.162979951,3454.628,406.074,1262.031,393.497,9.526
2014,4911,0.02777756,0.158217169,3491.632,397.595,1228.6,395.179,7.604
2015,4911,0.029095654,0.172035451,3495.443,437.257,1349.024,367.806,39.488
2016,4911,0.027619783,0.170273071,3498.682,442.034,1341.813,355.403,8.881
2017,4911,0.02870049,0.186803987,3565.296,488.456,1468.545,415.068,13.892
2018,4911,0.028931225,0.193999844,3691.247,511.047,1356.041,400.988,5.766
2019,4911,0.029131057,0.202409345,3471.209,538.32,1262.889,386.42,10.283
2020,4911,0.027499871,0.205625659,3586.982,550.559,1402.53,425.991,59.968
2010,3845,0.07780013,0.529025628,35166.721,4626.172,23783.834,7184.034,7323.94
2011,3845,0.078445467,0.48165269,38851.259,4728.449,26673.573,7683.92,8097.359
2012,3845,0.088687811,0.507286028,39873.91,5962.92,27864.399,7612.86,15173.984
2013,3845,0.059972528,0.213811421,21848,2576,12781,3986,8098
2014,3845,0.05533616,0.184446418,20247,2284,12088,3586,4460
2015,3845,0.107232041,0.347337836,20405,4423,12683,3418,6125
2016,3845,0.026582615,0.107469103,20853,1400,12743,3248,18775
2017,3845,0.006255738,0.020555029,27390,477,17277,5249,9610
2018,3845,0.035252259,0.100714529,30578,2368,19201,5182,4086
2019,3845,0.05431084,0.154571752,31904,3687,19955,5425,4140
2020,3845,0.061958979,0.186166908,34608,4495,21112,6414,7148
2010,3674,0.094883159,67.28571429,6494,471,3148,968,1789
2011,3674,0.099111829,70.14285714,6568,491,3186,919,1765
2012,3674,-0.29575,-169,5422,-1183,2395,630,1002
2013,3674,-0.019137653,-11.85714286,5299,-83,2117,832,1097
2014,3674,-0.106981683,-50.375,5506,-403,1954,818,1040
2015,3674,-0.212286909,-82.5,3991,-660,1207,533,785
2016,3674,-0.149653719,-55.22222222,4272,-497,1409,311,1264
2017,3674,0.012146893,4.777777778,5329,43,1900,400,1187
2018,3674,0.073968393,33.7,6475,337,2586,1269,1161
2019,3674,0.056569343,28.41666667,6731,341,3010,1879,1507
2020,3674,0.277839768,207.5,9763,2490,4564,2076,2290
2010,2810,0.076196329,4.126303128,9026,1029.1,3378,1641.7,374.3
2011,2810,0.085664103,4.908580593,10082,1224.2,3635.1,1725.4,422.5
2012,2810,0.068900589,4.680433039,9611.7,1167.3,3397.1,1733,454.4
2013,2810,0.055697167,3.986367281,10180.4,994.2,3615.3,1785.6,450.4
2014,2810,0.055778976,3.976343224,10439,991.7,3761.3,1753.8,336.6
2015,2810,0.073282066,5.123897354,9894.9,1277.9,3887.2,1659.6,206.4
2016,2810,0.034953725,2.530473136,9524.4,631.1,4047.6,1725.6,1501.3
2017,2810,0.162471842,12.03047314,8187.6,3000.4,3300,1455.3,3677.6
2018,2810,0.078098684,6.005613472,8930.2,1497.8,3687.3,1438.3,2976
2019,2810,0.092911291,7.056936648,8918.9,1760,4026.2,1415.4,2414.7
2020,2810,0.074962751,7.564955894,8856.3,1886.7,4183.2,1417.4,6357.9
